question_id,title,resolution,ground_truth,ensemble_forecast,ensemble_brier,FERMI_METHOD_forecast,NAIVE_DIALECTIC_forecast,PROPOSE_EVALUATE_SELECT_forecast,BAYESIAN_REASONING_forecast,ANTI_BIAS_forecast,TIPPING_forecast,SIMULATED_DIALOGUE_forecast,BACKWARD_REASONING_forecast,METACULUS_BINARY_forecast,FERMI_METHOD_brier,NAIVE_DIALECTIC_brier,PROPOSE_EVALUATE_SELECT_brier,BAYESIAN_REASONING_brier,ANTI_BIAS_brier,TIPPING_brier,SIMULATED_DIALOGUE_brier,BACKWARD_REASONING_brier,METACULUS_BINARY_brier
28650,"Will the US Steel/Nippon Steel merger collapse before January 1, 2025?",no,0,0.5766666666666667,0.3325444444444444,0.55,0.7,0.55,0.64,0.2,0.7,0.65,0.65,0.55,0.30250000000000005,0.48999999999999994,0.30250000000000005,0.4096,0.04000000000000001,0.48999999999999994,0.42250000000000004,0.42250000000000004,0.30250000000000005
28801,Will Eric Adams be Mayor of New York City on the 1st of January 2025?,yes,1,0.5588888888888889,0.194579012345679,0.6,0.65,0.4,0.78,0.4,0.4,0.65,0.4,0.75,0.16000000000000003,0.12249999999999998,0.36,0.04839999999999999,0.36,0.36,0.12249999999999998,0.36,0.0625
29742,"Will North Korea deploy military personnel to Ukraine before January 1, 2025?",no,0,0.41888888888888887,0.17546790123456787,0.2,0.6,0.15,0.72,0.25,0.85,0.4,0.35,0.25,0.04000000000000001,0.36,0.0225,0.5184,0.0625,0.7224999999999999,0.16000000000000003,0.12249999999999998,0.0625
30654,"Will Blue Origin launch its New Glenn rocket before January 1, 2025?",no,0,0.4588888888888889,0.21057901234567902,0.3,0.6,0.5,0.43,0.25,0.4,0.6,0.65,0.4,0.09,0.36,0.25,0.18489999999999998,0.0625,0.16000000000000003,0.36,0.42250000000000004,0.16000000000000003
28657,"Will China officially announce export restrictions on any additional metals before January 1, 2025?",yes,1,0.5544444444444445,0.1985197530864197,0.4,0.65,0.5,0.64,0.45,0.65,0.6,0.7,0.4,0.36,0.12249999999999998,0.25,0.1296,0.30250000000000005,0.12249999999999998,0.16000000000000003,0.09000000000000002,0.36
28658,"Will the Russian government officially ban YouTube before January 1, 2025?",no,0,0.5155555555555555,0.2657975308641975,0.4,0.6,0.6,0.49,0.4,0.65,0.6,0.6,0.3,0.16000000000000003,0.36,0.36,0.24009999999999998,0.16000000000000003,0.42250000000000004,0.36,0.36,0.09
28704,"Will BirdCast report 1 billion birds flying over the United States at any point before January 1, 2025?",no,0,0.42777777777777776,0.1829938271604938,0.25,0.65,0.6,0.25,0.05,0.3,0.4,0.65,0.7,0.0625,0.42250000000000004,0.36,0.0625,0.0025000000000000005,0.09,0.16000000000000003,0.42250000000000004,0.48999999999999994
28706,"Will OpenAI's o1 remain the top LLM in all categories of Chatbot Arena on December 30, 2024?",yes,1,0.6055555555555555,0.15558641975308646,0.35,0.65,0.55,0.6,0.5,0.7,0.65,0.7,0.75,0.42250000000000004,0.12249999999999998,0.20249999999999996,0.16000000000000003,0.25,0.09000000000000002,0.12249999999999998,0.09000000000000002,0.0625
28771,Will there be a white Christmas in at least 4 of these 9 large European cities in 2024?,no,0,0.2466666666666667,0.06084444444444446,0.2,0.3,0.35,0.24,0.08,0.2,0.25,0.4,0.2,0.04000000000000001,0.09,0.12249999999999998,0.0576,0.0064,0.04000000000000001,0.0625,0.16000000000000003,0.04000000000000001
28798,Will the 2024 World Chess Champion be decided in the first 10 games?,no,0,0.17555555555555555,0.03081975308641975,0.18,0.3,0.12,0.1,0.13,0.15,0.2,0.2,0.2,0.0324,0.09,0.0144,0.010000000000000002,0.016900000000000002,0.0225,0.04000000000000001,0.04000000000000001,0.04000000000000001
28808,"[Short fuse] Will there be a majority of ""Yes"" votes in the Moldovan European Union membership referendum?",yes,1,0.68,0.10239999999999996,0.75,0.65,0.7,0.57,0.75,0.65,0.7,0.65,0.7,0.0625,0.12249999999999998,0.09000000000000002,0.18490000000000004,0.0625,0.12249999999999998,0.09000000000000002,0.12249999999999998,0.09000000000000002
28811,"Will any more United Kingdom MPs be suspended from their party, resign, or change allegiance before 2025?",yes,1,0.5744444444444444,0.18109753086419755,0.23,0.7,0.6,0.64,0.25,0.75,0.65,0.75,0.6,0.5929,0.09000000000000002,0.16000000000000003,0.1296,0.5625,0.0625,0.12249999999999998,0.0625,0.16000000000000003
28812,Will Erik Ten Hag stop being Manchester United's manager before 2025?,yes,1,0.5644444444444444,0.18970864197530868,0.65,0.6,0.6,0.43,0.35,0.65,0.6,0.6,0.6,0.12249999999999998,0.16000000000000003,0.16000000000000003,0.3249000000000001,0.42250000000000004,0.12249999999999998,0.16000000000000003,0.16000000000000003,0.16000000000000003
28855,Will North Korea perform its seventh nuclear test before 2025?,no,0,0.528888888888889,0.27972345679012356,0.6,0.65,0.5,0.53,0.38,0.6,0.55,0.65,0.3,0.36,0.42250000000000004,0.25,0.28090000000000004,0.1444,0.36,0.30250000000000005,0.42250000000000004,0.09
29145,[Short fuse] Will California's Proposition 33 (allowing rent control) pass in the 2024 general election?,no,0,0.38222222222222224,0.14609382716049385,0.45,0.45,0.4,0.38,0.01,0.45,0.45,0.45,0.4,0.2025,0.2025,0.16000000000000003,0.1444,0.0001,0.2025,0.2025,0.2025,0.16000000000000003
29400,"Will both Xi Jinping and Vladimir Putin congratulate the winner of the 2024 U.S. Presidential Election before December 1, 2024?",yes,1,0.7144444444444445,0.08154197530864192,0.75,0.65,0.8,0.72,0.81,0.75,0.65,0.6,0.7,0.0625,0.12249999999999998,0.03999999999999998,0.07840000000000001,0.03609999999999998,0.0625,0.12249999999999998,0.16000000000000003,0.09000000000000002
29741,Will Bitcoin dominance exceed 63.0% on any single day in November or December 2024?,no,0,0.3888888888888889,0.15123456790123457,0.45,0.55,0.3,0.25,0.1,0.45,0.35,0.65,0.4,0.2025,0.30250000000000005,0.09,0.0625,0.010000000000000002,0.2025,0.12249999999999998,0.42250000000000004,0.16000000000000003
29743,Will Astro Bot win the Game of the Year 2024 award?,yes,1,0.44333333333333336,0.30987777777777775,0.21,0.6,0.3,0.28,0.2,0.6,0.55,0.65,0.6,0.6241000000000001,0.16000000000000003,0.48999999999999994,0.5184,0.6400000000000001,0.16000000000000003,0.20249999999999996,0.12249999999999998,0.16000000000000003
29744,Will the International Criminal Court issue any warrants in November or December 2024?,yes,1,0.33999999999999997,0.43560000000000004,0.3,0.55,0.3,0.17,0.29,0.35,0.4,0.4,0.3,0.48999999999999994,0.20249999999999996,0.48999999999999994,0.6889,0.5041,0.42250000000000004,0.36,0.36,0.48999999999999994
30012,Will the domestic opening weekend box office revenue of Mufasa: The Lion King exceed that of Sonic the Hedgehog 3?,no,0,0.6733333333333333,0.45337777777777777,0.65,0.6,0.65,0.71,0.95,0.6,0.6,0.6,0.7,0.42250000000000004,0.36,0.42250000000000004,0.5041,0.9025,0.36,0.36,0.36,0.48999999999999994
30060,"Will at least one of Andrea Bocelli's concerts at Madison Square Garden on December 18 or 19, 2024 sell out?",no,0,0.7944444444444445,0.631141975308642,0.75,0.85,0.8,0.75,0.8,0.85,0.75,0.85,0.75,0.5625,0.7224999999999999,0.6400000000000001,0.5625,0.6400000000000001,0.7224999999999999,0.5625,0.7224999999999999,0.5625
30100,Will Bluesky reach 30 million users before 1 January 2025?,no,0,0.73,0.5328999999999999,0.7,0.65,0.75,0.82,0.75,0.85,0.7,0.75,0.6,0.48999999999999994,0.42250000000000004,0.5625,0.6723999999999999,0.5625,0.7224999999999999,0.48999999999999994,0.5625,0.36
30101,Will Nvidia have the largest market cap in the world at the end of 2024?,no,0,0.39888888888888885,0.1591123456790123,0.35,0.6,0.25,0.14,0.65,0.3,0.4,0.6,0.3,0.12249999999999998,0.36,0.0625,0.019600000000000003,0.42250000000000004,0.09,0.16000000000000003,0.36,0.09
30269,"Will a ceasefire between Israel and Lebanon/Hezbollah be active on January 1, 2025?",yes,1,0.4655555555555556,0.2856308641975308,0.4,0.45,0.45,0.19,0.4,0.6,0.55,0.4,0.75,0.36,0.30250000000000005,0.30250000000000005,0.6561000000000001,0.36,0.16000000000000003,0.20249999999999996,0.36,0.0625
30300,"Will any more of Trump's announced Cabinet picks drop out before January 1, 2025?",no,0,0.52,0.27040000000000003,0.33,0.6,0.6,0.42,0.23,0.65,0.6,0.65,0.6,0.10890000000000001,0.36,0.36,0.17639999999999997,0.0529,0.42250000000000004,0.36,0.42250000000000004,0.36
30301,"Will New Delhi experience a ""Hazardous"" air quality index for at least one third of the last two weeks of December 2024?",yes,1,0.5255555555555556,0.22509753086419754,0.5,0.75,0.7,0.33,0.25,0.65,0.65,0.7,0.2,0.25,0.0625,0.09000000000000002,0.4488999999999999,0.5625,0.12249999999999998,0.12249999999999998,0.09000000000000002,0.6400000000000001
30457,"Will former First Lady of Pakistan Bushra Bibi be arrested before January 1, 2025?",no,0,0.581111111111111,0.33769012345679,0.55,0.7,0.6,0.33,0.4,0.75,0.65,0.65,0.6,0.30250000000000005,0.48999999999999994,0.36,0.10890000000000001,0.16000000000000003,0.5625,0.42250000000000004,0.42250000000000004,0.36
30478,"Will Yoon Suk Yeol be President of South Korea on December 31, 2024?",yes,1,0.5722222222222223,0.18299382716049375,0.7,0.45,0.55,0.59,0.51,0.4,0.65,0.6,0.7,0.09000000000000002,0.30250000000000005,0.20249999999999996,0.16810000000000003,0.24009999999999998,0.36,0.12249999999999998,0.16000000000000003,0.09000000000000002
30607,"Will the undiagnosed disease currently spreading in the Democratic Republic of the Congo be identified as Influenza, RSV, or COVID-19 before January 7, 2025?",no,0,0.37777777777777777,0.14271604938271604,0.35,0.6,0.3,0.1,0.15,0.35,0.65,0.6,0.3,0.12249999999999998,0.36,0.09,0.010000000000000002,0.0225,0.12249999999999998,0.42250000000000004,0.36,0.09
30735,"Will the majority of Russian soldiers in Syria withdraw before January 5, 2025?",no,0,0.5222222222222224,0.2727160493827162,0.7,0.4,0.4,0.55,0.4,0.7,0.55,0.6,0.4,0.48999999999999994,0.16000000000000003,0.16000000000000003,0.30250000000000005,0.16000000000000003,0.48999999999999994,0.30250000000000005,0.36,0.16000000000000003
